show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Netflix Title 1,Director 1,"Actor A, Actor B 1",South Korea,"January 1, 2023",2016,TV-MA,72 min,Thriller,Sample description for title 1
s2,TV Show,Netflix Title 2,Director 2,"Actor A, Actor B 2",United States,"January 2, 2023",2023,TV-PG,1 Seasons,Romance,Sample description for title 2
s3,TV Show,Netflix Title 3,Director 3,"Actor A, Actor B 3",United States,"January 3, 2023",2016,TV-PG,2 Seasons,Thriller,Sample description for title 3
s4,Movie,Netflix Title 4,Director 4,"Actor A, Actor B 4",United States,"January 4, 2023",2006,TV-PG,119 min,Romance,Sample description for title 4
s5,Movie,Netflix Title 5,Director 5,"Actor A, Actor B 5",Japan,"January 5, 2023",2013,R,64 min,Comedy,Sample description for title 5
s6,Movie,Netflix Title 6,Director 6,"Actor A, Actor B 6",Canada,"January 6, 2023",2014,R,103 min,Thriller,Sample description for title 6
s7,Movie,Netflix Title 7,Director 7,"Actor A, Actor B 7",Japan,"January 7, 2023",1996,TV-MA,86 min,Thriller,Sample description for title 7
s8,TV Show,Netflix Title 8,Director 8,"Actor A, Actor B 8",Canada,"January 8, 2023",1995,TV-14,5 Seasons,Documentary,Sample description for title 8
s9,Movie,Netflix Title 9,Director 9,"Actor A, Actor B 9",Japan,"January 9, 2023",2013,TV-14,67 min,Documentary,Sample description for title 9
s10,TV Show,Netflix Title 10,Director 10,"Actor A, Actor B 10",Japan,"January 10, 2023",2022,R,6 Seasons,Drama,Sample description for title 10
s11,Movie,Netflix Title 11,Director 11,"Actor A, Actor B 11",South Korea,"January 11, 2023",2018,TV-MA,131 min,Romance,Sample description for title 11
s12,TV Show,Netflix Title 12,Director 12,"Actor A, Actor B 12",United Kingdom,"January 12, 2023",2011,TV-14,2 Seasons,Documentary,Sample description for title 12
s13,TV Show,Netflix Title 13,Director 13,"Actor A, Actor B 13",Japan,"January 13, 2023",2015,TV-MA,3 Seasons,Drama,Sample description for title 13
s14,Movie,Netflix Title 14,Director 14,"Actor A, Actor B 14",South Korea,"January 14, 2023",2017,TV-MA,177 min,Documentary,Sample description for title 14
s15,Movie,Netflix Title 15,Director 15,"Actor A, Actor B 15",India,"January 15, 2023",2010,TV-MA,103 min,Romance,Sample description for title 15
s16,Movie,Netflix Title 16,Director 16,"Actor A, Actor B 16",United Kingdom,"January 16, 2023",1996,PG,117 min,Thriller,Sample description for title 16
s17,Movie,Netflix Title 17,Director 17,"Actor A, Actor B 17",Japan,"January 17, 2023",2006,TV-PG,62 min,Action,Sample description for title 17
s18,Movie,Netflix Title 18,Director 18,"Actor A, Actor B 18",United States,"January 18, 2023",2009,TV-MA,145 min,Romance,Sample description for title 18
s19,Movie,Netflix Title 19,Director 19,"Actor A, Actor B 19",India,"January 19, 2023",2009,PG,129 min,Comedy,Sample description for title 19
s20,Movie,Netflix Title 20,Director 20,"Actor A, Actor B 0",India,"January 20, 2023",2011,R,61 min,Documentary,Sample description for title 20
s21,Movie,Netflix Title 21,Director 21,"Actor A, Actor B 1",South Korea,"January 21, 2023",2017,TV-14,146 min,Documentary,Sample description for title 21
